"year" "top1perc" "top1perc_nok" "topmtr" "topmtr_k" "incadult_nok" "incadulttop1_nok" "incadultbot99_nok" "incadulttop1_n" "incadultbot99_n"
"1" 1913 0.179600417613983 0.179600417613983 0.0700000002980232 0.0700000002980232 9.7963188704562 175.942296021368 8.11807667701265 100 100
"2" 1914 0.181579411029816 0.181579411029816 0.0700000002980232 0.0700000002980232 9.56886202033206 173.750832987747 7.91045827318646 98.7544421761128 97.4425173340123
"3" 1915 0.175777226686478 0.1757772564888 0.0700000002980232 0.0700000002980232 9.66306709203629 169.854742270535 8.04496936296055 96.5400118750991 99.0994538969019
"4" 1916 0.193107560276985 0.185730665922165 0.150000005960464 0.150000005960464 10.5134204870561 195.266458818065 8.64722818068223 117.238515216978 107.242910141036
"5" 1917 0.177371487021446 0.175994873046875 0.670000016689301 0.670000016689301 10.7163580991069 188.602408317717 8.91952930901993 108.979894123143 110.649191415867
"6" 1918 0.159614726901054 0.158832207322121 0.769999980926514 0.769999980926514 10.2319765543065 162.516742138869 8.69374659890689 93.5097292393652 107.781490491631
"7" 1919 0.164107784628868 0.158674150705338 0.730000019073486 0.730000019073486 9.95933926666849 158.028969972494 8.46368643125611 94.7713145065336 105.676863264376
"8" 1920 0.148298189043999 0.144590422511101 0.730000019073486 0.730000019073486 8.87168055159508 128.276003933865 7.6655762750065 76.2951506259639 95.924726442525
"9" 1921 0.156379163265228 0.154729306697845 0.730000019073486 0.730000019073486 7.84560530035137 121.394506874831 6.69864669858895 70.4330731795795 83.1815411744283
"10" 1922 0.17057628929615 0.162923201918602 0.579999983310699 0.125 8.88374969922506 144.736894604116 7.51149571028676 87.9964481568955 93.6709313203528
"11" 1923 0.156424924731255 0.149910047650337 0.435000002384186 0.125 9.88711768502854 148.217828328712 8.48983777953678 89.8694124168743 106.09907519642
"12" 1924 0.174230799078941 0.163159072399139 0.46000000834465 0.125 9.77056841527098 159.415687944794 8.2590015513364 99.6493098328472 103.392719607266
"13" 1925 0.202445045113564 0.176028072834015 0.25 0.125 9.86903287790558 173.722683823325 8.21394549461851 120.240443371641 103.701716789842
"14" 1926 0.199090510606766 0.180114969611168 0.25 0.125 9.96433755163773 179.472635530865 8.25213252154453 118.031535692605 103.947212640745
"15" 1927 0.210250332951546 0.186788856983185 0.25 0.125 10.0244958108051 187.2464114333 8.23437545098187 126.564428711899 104.074979486713
"16" 1928 0.239402487874031 0.195987179875374 0.25 0.125 10.2088766541898 200.08089451502 8.29097748387837 151.325768159477 105.249742004728
"17" 1929 0.223528832197189 0.184179037809372 0.239999994635582 0.125 10.6050983462444 195.323680928505 8.73925407773668 145.165829812498 110.392126001916
"18" 1930 0.172232732176781 0.164228186011314 0.25 0.125 9.56260344875202 157.044901793408 8.07288326345246 96.0556263341157 101.064184964298
"19" 1931 0.154984593391418 0.152705937623978 0.25 0.125 8.67235319820232 132.431982653779 7.42225593097428 77.2292163072387 92.1806228650209
"20" 1932 0.155559301376343 0.154784679412842 0.629999995231628 0.125 7.28828354879866 112.811463257069 6.22239284467472 64.6688215270404 76.8510898346399
"21" 1933 0.164600878953934 0.157709136605263 0.629999995231628 0.125 7.09094541504253 111.83068791214 6.03296821810215 67.4569893401528 74.9498434283364
"22" 1934 0.16396988928318 0.158681854605675 0.629999995231628 0.188999995589256 7.77954598786381 123.447278534437 6.61118505304994 73.2513670721073 81.7627446738154
"23" 1935 0.166762858629227 0.156283125281334 0.629999995231628 0.188999995589256 8.41804403878971 131.559823113796 7.17418768449672 81.4276187913912 89.0682532908588
"24" 1936 0.19288244843483 0.176373422145844 0.790000021457672 0.237000003457069 9.2385480451193 162.943433437648 7.68597344519476 104.987221391457 96.1750530600647
"25" 1937 0.171493411064148 0.16450434923172 0.790000021457672 0.237000003457069 9.68701004509236 159.355528346905 8.17520682992253 95.5706517603815 101.077615315312
"26" 1938 0.157549232244492 0.147293835878372 0.790000021457672 0.300000011920929 8.91700709215294 131.342017915786 7.68039082120716 81.2213834334952 95.078108521404
"27" 1939 0.161754578351974 0.153930366039276 0.790000021457672 0.300000011920929 9.51792042895644 146.509697556197 8.13416510443886 88.7324525679172 100.665117614409
"28" 1940 0.164780735969543 0.157339885830879 0.810999989509583 0.300000011920929 9.97783641404241 156.991164222462 8.49285330486646 94.6149245131708 104.987023494366
"29" 1941 0.157855674624443 0.150079786777496 0.810000002384186 0.300000011920929 11.540506219656 173.199671275034 9.90758536051073 104.860257045833 122.467022045016
"30" 1942 0.134286686778069 0.12905441224575 0.879999995231628 0.25 13.2841568595345 171.437905568757 11.68664424631 102.155580327943 144.173401324364
"31" 1943 0.123094744980335 0.114846535027027 0.879999995231628 0.25 15.2462420698867 175.097807390977 13.6315797939161 108.199959201453 168.741602160281
"32" 1944 0.112809345126152 0.105386696755886 0.899999976158142 0.25 14.943817565783 157.487957018046 13.5039777733359 97.2150590682872 167.373746080621
